maintenance_id,machine_code,commissioning_date,max_daily_capacity,max_hourly_capacity_pieces,model,production_line,location,criticality,is_active,maintenance_at,maintenance_type,action_type,component,description,related_incident_id,duration_hours
19,MACH-04,2023-01-07,750,47,InduPress-Z1,Ligne-C,Atelier-3,LOW,true,2025-06-15 06:00:00+00,proactive,changement_programme,capteur pression,Remplacement programmé capteur pression,,2.51
20,MACH-04,2023-01-07,750,47,InduPress-Z1,Ligne-C,Atelier-3,LOW,true,2025-08-14 10:00:00+00,proactive,changement_programme,filtre hydraulique,Remplacement programmé filtre hydraulique,,2.22
21,MACH-04,2023-01-07,750,47,InduPress-Z1,Ligne-C,Atelier-3,LOW,true,2025-10-13 08:00:00+00,proactive,changement_programme,convoyeur sortie,Remplacement programmé convoyeur sortie,,1.77
22,MACH-04,2023-01-07,750,47,InduPress-Z1,Ligne-C,Atelier-3,LOW,true,2025-12-12 14:00:00+00,proactive,changement_programme,capteur pression,Remplacement programmé capteur pression,,2.81
23,MACH-04,2023-01-07,750,47,InduPress-Z1,Ligne-C,Atelier-3,LOW,true,2026-02-10 10:00:00+00,proactive,changement_programme,courroie moteur,Remplacement programmé courroie moteur,,3.48
24,MACH-04,2023-01-07,750,47,InduPress-Z1,Ligne-C,Atelier-3,LOW,true,2026-04-11 06:00:00+00,proactive,changement_programme,roulement axe principal,Remplacement programmé roulement axe principal,,3.33
25,MACH-05,2024-03-11,1380,86,InduPress-X2,Ligne-C,Atelier-1,HIGH,true,2025-06-15 10:00:00+00,proactive,changement_programme,courroie moteur,Remplacement programmé courroie moteur,,3.29
26,MACH-05,2024-03-11,1380,86,InduPress-X2,Ligne-C,Atelier-1,HIGH,true,2025-08-14 10:00:00+00,proactive,changement_programme,capteur température,Remplacement programmé capteur température,,2.91
27,MACH-05,2024-03-11,1380,86,InduPress-X2,Ligne-C,Atelier-1,HIGH,true,2025-10-13 14:00:00+00,proactive,changement_programme,convoyeur sortie,Remplacement programmé convoyeur sortie,,3.09
28,MACH-05,2024-03-11,1380,86,InduPress-X2,Ligne-C,Atelier-1,HIGH,true,2025-12-12 14:00:00+00,proactive,changement_programme,capteur pression,Remplacement programmé capteur pression,,2.12
29,MACH-05,2024-03-11,1380,86,InduPress-X2,Ligne-C,Atelier-1,HIGH,true,2026-02-10 08:00:00+00,proactive,changement_programme,joint hydraulique,Remplacement programmé joint hydraulique,,3.22
30,MACH-05,2024-03-11,1380,86,InduPress-X2,Ligne-C,Atelier-1,HIGH,true,2026-04-11 10:00:00+00,proactive,changement_programme,capteur température,Remplacement programmé capteur température,,1.82
31,MACH-06,2022-01-01,1351,84,InduPress-X3,Ligne-A,Atelier-1,LOW,true,2025-06-15 08:00:00+00,proactive,changement_programme,capteur pression,Remplacement programmé capteur pression,,2.25
32,MACH-06,2022-01-01,1351,84,InduPress-X3,Ligne-A,Atelier-1,LOW,true,2025-08-14 10:00:00+00,proactive,changement_programme,capteur pression,Remplacement programmé capteur pression,,2.11
33,MACH-06,2022-01-01,1351,84,InduPress-X3,Ligne-A,Atelier-1,LOW,true,2025-10-13 06:00:00+00,proactive,changement_programme,capteur pression,Remplacement programmé capteur pression,,3.22
34,MACH-06,2022-01-01,1351,84,InduPress-X3,Ligne-A,Atelier-1,LOW,true,2025-12-12 08:00:00+00,proactive,changement_programme,filtre hydraulique,Remplacement programmé filtre hydraulique,,2.99
35,MACH-06,2022-01-01,1351,84,InduPress-X3,Ligne-A,Atelier-1,LOW,true,2026-02-10 14:00:00+00,proactive,changement_programme,filtre hydraulique,Remplacement programmé filtre hydraulique,,3.01
36,MACH-06,2022-01-01,1351,84,InduPress-X3,Ligne-A,Atelier-1,LOW,true,2026-04-11 14:00:00+00,proactive,changement_programme,convoyeur sortie,Remplacement programmé convoyeur sortie,,2.36
37,MACH-07,2025-05-25,1428,89,InduPress-Z1,Ligne-A,Atelier-3,MEDIUM,true,2025-06-15 14:00:00+00,proactive,changement_programme,filtre hydraulique,Remplacement programmé filtre hydraulique,,3.49
38,MACH-07,2025-05-25,1428,89,InduPress-Z1,Ligne-A,Atelier-3,MEDIUM,true,2025-08-14 14:00:00+00,proactive,changement_programme,courroie moteur,Remplacement programmé courroie moteur,,3.04
39,MACH-07,2025-05-25,1428,89,InduPress-Z1,Ligne-A,Atelier-3,MEDIUM,true,2025-10-13 06:00:00+00,proactive,changement_programme,filtre hydraulique,Remplacement programmé filtre hydraulique,,1.93
40,MACH-07,2025-05-25,1428,89,InduPress-Z1,Ligne-A,Atelier-3,MEDIUM,true,2025-12-12 14:00:00+00,proactive,changement_programme,joint hydraulique,Remplacement programmé joint hydraulique,,1.2
41,MACH-07,2025-05-25,1428,89,InduPress-Z1,Ligne-A,Atelier-3,MEDIUM,true,2026-02-10 06:00:00+00,proactive,changement_programme,capteur pression,Remplacement programmé capteur pression,,2.08
42,MACH-07,2025-05-25,1428,89,InduPress-Z1,Ligne-A,Atelier-3,MEDIUM,true,2026-04-11 10:00:00+00,proactive,changement_programme,roulement axe principal,Remplacement programmé roulement axe principal,,1.34
43,MACH-08,2023-10-18,1158,72,InduPress-X1,Ligne-B,Atelier-2,HIGH,true,2025-06-15 10:00:00+00,proactive,changement_programme,variateur vitesse,Remplacement programmé variateur vitesse,,2.68
44,MACH-08,2023-10-18,1158,72,InduPress-X1,Ligne-B,Atelier-2,HIGH,true,2025-08-14 08:00:00+00,proactive,changement_programme,variateur vitesse,Remplacement programmé variateur vitesse,,2.33
45,MACH-08,2023-10-18,1158,72,InduPress-X1,Ligne-B,Atelier-2,HIGH,true,2025-10-13 08:00:00+00,proactive,changement_programme,roulement axe principal,Remplacement programmé roulement axe principal,,3.12
46,MACH-08,2023-10-18,1158,72,InduPress-X1,Ligne-B,Atelier-2,HIGH,true,2025-12-12 14:00:00+00,proactive,changement_programme,courroie moteur,Remplacement programmé courroie moteur,,2.43
47,MACH-08,2023-10-18,1158,72,InduPress-X1,Ligne-B,Atelier-2,HIGH,true,2026-02-10 06:00:00+00,proactive,changement_programme,capteur température,Remplacement programmé capteur température,,2.62
48,MACH-08,2023-10-18,1158,72,InduPress-X1,Ligne-B,Atelier-2,HIGH,true,2026-04-11 10:00:00+00,proactive,changement_programme,joint hydraulique,Remplacement programmé joint hydraulique,,1.09
49,MACH-09,2023-01-15,1056,66,InduPress-X2,Ligne-B,Atelier-3,MEDIUM,true,2025-06-15 14:00:00+00,proactive,changement_programme,roulement axe principal,Remplacement programmé roulement axe principal,,2.38
50,MACH-09,2023-01-15,1056,66,InduPress-X2,Ligne-B,Atelier-3,MEDIUM,true,2025-08-14 10:00:00+00,proactive,changement_programme,joint hydraulique,Remplacement programmé joint hydraulique,,1.2
51,MACH-09,2023-01-15,1056,66,InduPress-X2,Ligne-B,Atelier-3,MEDIUM,true,2025-10-13 08:00:00+00,proactive,changement_programme,filtre hydraulique,Remplacement programmé filtre hydraulique,,1.43
52,MACH-09,2023-01-15,1056,66,InduPress-X2,Ligne-B,Atelier-3,MEDIUM,true,2025-12-12 14:00:00+00,proactive,changement_programme,courroie moteur,Remplacement programmé courroie moteur,,3.22
53,MACH-09,2023-01-15,1056,66,InduPress-X2,Ligne-B,Atelier-3,MEDIUM,true,2026-02-10 14:00:00+00,proactive,changement_programme,capteur pression,Remplacement programmé capteur pression,,2.84
54,MACH-09,2023-01-15,1056,66,InduPress-X2,Ligne-B,Atelier-3,MEDIUM,true,2026-04-11 08:00:00+00,proactive,changement_programme,roulement axe principal,Remplacement programmé roulement axe principal,,1.43
55,MACH-10,2021-04-16,778,49,InduPress-X3,Ligne-A,Atelier-3,LOW,true,2025-06-15 14:00:00+00,proactive,changement_programme,capteur pression,Remplacement programmé capteur pression,,2.92
56,MACH-10,2021-04-16,778,49,InduPress-X3,Ligne-A,Atelier-3,LOW,true,2025-08-14 08:00:00+00,proactive,changement_programme,roulement axe principal,Remplacement programmé roulement axe principal,,2.44
57,MACH-10,2021-04-16,778,49,InduPress-X3,Ligne-A,Atelier-3,LOW,true,2025-10-13 10:00:00+00,proactive,changement_programme,filtre hydraulique,Remplacement programmé filtre hydraulique,,3.11
58,MACH-10,2021-04-16,778,49,InduPress-X3,Ligne-A,Atelier-3,LOW,true,2025-12-12 14:00:00+00,proactive,changement_programme,capteur température,Remplacement programmé capteur température,,2.81
59,MACH-10,2021-04-16,778,49,InduPress-X3,Ligne-A,Atelier-3,LOW,true,2026-02-10 10:00:00+00,proactive,changement_programme,roulement axe principal,Remplacement programmé roulement axe principal,,2.26
60,MACH-10,2021-04-16,778,49,InduPress-X3,Ligne-A,Atelier-3,LOW,true,2026-04-11 10:00:00+00,proactive,changement_programme,convoyeur sortie,Remplacement programmé convoyeur sortie,,2.97
61,MACH-11,2022-09-15,984,62,InduPress-X2,Ligne-B,Atelier-1,MEDIUM,true,2025-06-15 06:00:00+00,proactive,changement_programme,capteur température,Remplacement programmé capteur température,,1.07
62,MACH-11,2022-09-15,984,62,InduPress-X2,Ligne-B,Atelier-1,MEDIUM,true,2025-08-14 06:00:00+00,proactive,changement_programme,filtre hydraulique,Remplacement programmé filtre hydraulique,,1.57
63,MACH-11,2022-09-15,984,62,InduPress-X2,Ligne-B,Atelier-1,MEDIUM,true,2025-10-13 06:00:00+00,proactive,changement_programme,capteur pression,Remplacement programmé capteur pression,,1.64
64,MACH-11,2022-09-15,984,62,InduPress-X2,Ligne-B,Atelier-1,MEDIUM,true,2025-12-12 14:00:00+00,proactive,changement_programme,roulement axe principal,Remplacement programmé roulement axe principal,,3.08
65,MACH-11,2022-09-15,984,62,InduPress-X2,Ligne-B,Atelier-1,MEDIUM,true,2026-02-10 10:00:00+00,proactive,changement_programme,capteur pression,Remplacement programmé capteur pression,,3.04
66,MACH-11,2022-09-15,984,62,InduPress-X2,Ligne-B,Atelier-1,MEDIUM,true,2026-04-11 06:00:00+00,proactive,changement_programme,courroie moteur,Remplacement programmé courroie moteur,,1.74
67,MACH-12,2024-02-21,838,52,InduPress-Z1,Ligne-B,Atelier-2,MEDIUM,true,2025-06-15 10:00:00+00,proactive,changement_programme,roulement axe principal,Remplacement programmé roulement axe principal,,3.08
68,MACH-12,2024-02-21,838,52,InduPress-Z1,Ligne-B,Atelier-2,MEDIUM,true,2025-08-14 14:00:00+00,proactive,changement_programme,convoyeur sortie,Remplacement programmé convoyeur sortie,,2.11
69,MACH-12,2024-02-21,838,52,InduPress-Z1,Ligne-B,Atelier-2,MEDIUM,true,2025-10-13 10:00:00+00,proactive,changement_programme,courroie moteur,Remplacement programmé courroie moteur,,1.8
70,MACH-12,2024-02-21,838,52,InduPress-Z1,Ligne-B,Atelier-2,MEDIUM,true,2025-12-12 14:00:00+00,proactive,changement_programme,capteur pression,Remplacement programmé capteur pression,,2.82
71,MACH-12,2024-02-21,838,52,InduPress-Z1,Ligne-B,Atelier-2,MEDIUM,true,2026-02-10 06:00:00+00,proactive,changement_programme,roulement axe principal,Remplacement programmé roulement axe principal,,2.13
72,MACH-12,2024-02-21,838,52,InduPress-Z1,Ligne-B,Atelier-2,MEDIUM,true,2026-04-11 08:00:00+00,proactive,changement_programme,capteur température,Remplacement programmé capteur température,,3.37
73,MACH-13,2019-12-30,907,57,InduPress-X3,Ligne-C,Atelier-3,MEDIUM,true,2025-06-15 06:00:00+00,proactive,changement_programme,capteur pression,Remplacement programmé capteur pression,,2.98
74,MACH-13,2019-12-30,907,57,InduPress-X3,Ligne-C,Atelier-3,MEDIUM,true,2025-08-14 06:00:00+00,proactive,changement_programme,filtre hydraulique,Remplacement programmé filtre hydraulique,,1.76
75,MACH-13,2019-12-30,907,57,InduPress-X3,Ligne-C,Atelier-3,MEDIUM,true,2025-10-13 08:00:00+00,proactive,changement_programme,filtre hydraulique,Remplacement programmé filtre hydraulique,,2.73
76,MACH-13,2019-12-30,907,57,InduPress-X3,Ligne-C,Atelier-3,MEDIUM,true,2025-12-12 08:00:00+00,proactive,changement_programme,courroie moteur,Remplacement programmé courroie moteur,,3.2
77,MACH-13,2019-12-30,907,57,InduPress-X3,Ligne-C,Atelier-3,MEDIUM,true,2026-02-10 08:00:00+00,proactive,changement_programme,filtre hydraulique,Remplacement programmé filtre hydraulique,,3.47
78,MACH-13,2019-12-30,907,57,InduPress-X3,Ligne-C,Atelier-3,MEDIUM,true,2026-04-11 10:00:00+00,proactive,changement_programme,capteur pression,Remplacement programmé capteur pression,,1.56
79,MACH-14,2021-10-21,1191,74,InduPress-X2,Ligne-A,Atelier-3,LOW,true,2025-06-15 14:00:00+00,proactive,changement_programme,filtre hydraulique,Remplacement programmé filtre hydraulique,,3.4
80,MACH-14,2021-10-21,1191,74,InduPress-X2,Ligne-A,Atelier-3,LOW,true,2025-08-14 08:00:00+00,proactive,changement_programme,joint hydraulique,Remplacement programmé joint hydraulique,,1.55
81,MACH-14,2021-10-21,1191,74,InduPress-X2,Ligne-A,Atelier-3,LOW,true,2025-10-13 10:00:00+00,proactive,changement_programme,filtre hydraulique,Remplacement programmé filtre hydraulique,,1.29
82,MACH-14,2021-10-21,1191,74,InduPress-X2,Ligne-A,Atelier-3,LOW,true,2025-12-12 14:00:00+00,proactive,changement_programme,capteur pression,Remplacement programmé capteur pression,,1.9
83,MACH-14,2021-10-21,1191,74,InduPress-X2,Ligne-A,Atelier-3,LOW,true,2026-02-10 08:00:00+00,proactive,changement_programme,variateur vitesse,Remplacement programmé variateur vitesse,,1.21
84,MACH-14,2021-10-21,1191,74,InduPress-X2,Ligne-A,Atelier-3,LOW,true,2026-04-11 06:00:00+00,proactive,changement_programme,filtre hydraulique,Remplacement programmé filtre hydraulique,,3.1
85,MACH-15,2022-03-16,1027,64,InduPress-X2,Ligne-A,Atelier-3,MEDIUM,true,2025-06-15 08:00:00+00,proactive,changement_programme,variateur vitesse,Remplacement programmé variateur vitesse,,1.0
86,MACH-15,2022-03-16,1027,64,InduPress-X2,Ligne-A,Atelier-3,MEDIUM,true,2025-08-14 08:00:00+00,proactive,changement_programme,capteur température,Remplacement programmé capteur température,,1.4
87,MACH-15,2022-03-16,1027,64,InduPress-X2,Ligne-A,Atelier-3,MEDIUM,true,2025-10-13 06:00:00+00,proactive,changement_programme,courroie moteur,Remplacement programmé courroie moteur,,3.12
88,MACH-15,2022-03-16,1027,64,InduPress-X2,Ligne-A,Atelier-3,MEDIUM,true,2025-12-12 06:00:00+00,proactive,changement_programme,courroie moteur,Remplacement programmé courroie moteur,,1.31
89,MACH-15,2022-03-16,1027,64,InduPress-X2,Ligne-A,Atelier-3,MEDIUM,true,2026-02-10 06:00:00+00,proactive,changement_programme,joint hydraulique,Remplacement programmé joint hydraulique,,3.48
90,MACH-15,2022-03-16,1027,64,InduPress-X2,Ligne-A,Atelier-3,MEDIUM,true,2026-04-11 08:00:00+00,proactive,changement_programme,filtre hydraulique,Remplacement programmé filtre hydraulique,,3.0
91,MACH-05,2024-03-11,1380,86,InduPress-X2,Ligne-C,Atelier-1,HIGH,true,2025-06-16 03:00:00+00,reactive,changement_suite_panne,capteur pression,Intervention corrective après INC-000037,INC-000037,2.64
92,MACH-01,2021-05-12,770,48,InduPress-X2,Ligne-A,Atelier-2,MEDIUM,true,2025-06-17 04:00:00+00,reactive,changement_suite_panne,capteur température,Intervention corrective après INC-000042,INC-000042,2.28
93,MACH-15,2022-03-16,1027,64,InduPress-X2,Ligne-A,Atelier-3,MEDIUM,true,2025-06-27 15:00:00+00,reactive,changement_suite_panne,capteur pression,Intervention corrective après INC-000068,INC-000068,6.08
94,MACH-10,2021-04-16,778,49,InduPress-X3,Ligne-A,Atelier-3,LOW,true,2025-07-11 11:00:00+00,reactive,changement_suite_panne,capteur température,Intervention corrective après INC-000099,INC-000099,5.98
95,MACH-15,2022-03-16,1027,64,InduPress-X2,Ligne-A,Atelier-3,MEDIUM,true,2025-07-27 21:00:00+00,reactive,changement_suite_panne,capteur température,Intervention corrective après INC-000136,INC-000136,6.36
96,MACH-09,2023-01-15,1056,66,InduPress-X2,Ligne-B,Atelier-3,MEDIUM,true,2025-07-29 02:00:00+00,reactive,changement_suite_panne,outillage presse,Intervention corrective après INC-000138,INC-000138,2.47
97,MACH-09,2023-01-15,1056,66,InduPress-X2,Ligne-B,Atelier-3,MEDIUM,true,2025-08-21 23:00:00+00,reactive,changement_suite_panne,capteur température,Intervention corrective après INC-000200,INC-000200,5.71
98,MACH-08,2023-10-18,1158,72,InduPress-X1,Ligne-B,Atelier-2,HIGH,true,2025-09-02 20:00:00+00,reactive,changement_suite_panne,capteur pression,Intervention corrective après INC-000225,INC-000225,7.12
99,MACH-06,2022-01-01,1351,84,InduPress-X3,Ligne-A,Atelier-1,LOW,true,2025-09-08 17:00:00+00,reactive,changement_suite_panne,capteur pression,Intervention corrective après INC-000239,INC-000239,5.87
100,MACH-15,2022-03-16,1027,64,InduPress-X2,Ligne-A,Atelier-3,MEDIUM,true,2025-09-21 08:00:00+00,reactive,changement_suite_panne,capteur pression,Intervention corrective après INC-000268,INC-000268,5.73
101,MACH-11,2022-09-15,984,62,InduPress-X2,Ligne-B,Atelier-1,MEDIUM,true,2025-10-05 17:00:00+00,reactive,changement_suite_panne,capteur température,Intervention corrective après INC-000305,INC-000305,6.71
102,MACH-01,2021-05-12,770,48,InduPress-X2,Ligne-A,Atelier-2,MEDIUM,true,2025-10-05 20:00:00+00,reactive,changement_suite_panne,variateur vitesse,Intervention corrective après INC-000306,INC-000306,3.2
103,MACH-12,2024-02-21,838,52,InduPress-Z1,Ligne-B,Atelier-2,MEDIUM,true,2025-10-09 05:00:00+00,reactive,changement_suite_panne,capteur température,Intervention corrective après INC-000317,INC-000317,2.32
104,MACH-04,2023-01-07,750,47,InduPress-Z1,Ligne-C,Atelier-3,LOW,true,2025-11-15 05:00:00+00,reactive,changement_suite_panne,roulement axe principal,Intervention corrective après INC-000400,INC-000400,6.21
105,MACH-08,2023-10-18,1158,72,InduPress-X1,Ligne-B,Atelier-2,HIGH,true,2025-11-22 03:00:00+00,reactive,changement_suite_panne,capteur pression,Intervention corrective après INC-000412,INC-000412,4.71
106,MACH-10,2021-04-16,778,49,InduPress-X3,Ligne-A,Atelier-3,LOW,true,2025-11-27 21:00:00+00,reactive,changement_suite_panne,joint hydraulique,Intervention corrective après INC-000426,INC-000426,4.25
107,MACH-02,2024-09-07,800,50,InduPress-X2,Ligne-A,Atelier-1,LOW,true,2025-12-18 13:00:00+00,reactive,changement_suite_panne,joint hydraulique,Intervention corrective après INC-000478,INC-000478,7.54
108,MACH-03,2019-07-23,1405,88,InduPress-X1,Ligne-B,Atelier-1,HIGH,true,2025-12-26 20:00:00+00,reactive,changement_suite_panne,courroie moteur,Intervention corrective après INC-000495,INC-000495,5.15
109,MACH-11,2022-09-15,984,62,InduPress-X2,Ligne-B,Atelier-1,MEDIUM,true,2026-01-14 14:00:00+00,reactive,changement_suite_panne,capteur température,Intervention corrective après INC-000537,INC-000537,5.09
110,MACH-04,2023-01-07,750,47,InduPress-Z1,Ligne-C,Atelier-3,LOW,true,2026-04-12 00:00:00+00,reactive,changement_suite_panne,capteur température,Intervention corrective après INC-000747,INC-000747,7.26
111,MACH-05,2024-03-11,1380,86,InduPress-X2,Ligne-C,Atelier-1,HIGH,true,2026-04-13 03:00:00+00,reactive,changement_suite_panne,relais sécurité,Intervention corrective après INC-000749,INC-000749,4.04
112,MACH-09,2023-01-15,1056,66,InduPress-X2,Ligne-B,Atelier-3,MEDIUM,true,2026-04-24 10:00:00+00,reactive,changement_suite_panne,joint hydraulique,Intervention corrective après INC-000779,INC-000779,3.56
113,MACH-07,2025-05-25,1428,89,InduPress-Z1,Ligne-A,Atelier-3,MEDIUM,true,2026-05-27 18:00:00+00,reactive,changement_suite_panne,convoyeur sortie,Intervention corrective après INC-000865,INC-000865,7.72
114,MACH-12,2024-02-21,838,52,InduPress-Z1,Ligne-B,Atelier-2,MEDIUM,true,2026-05-28 04:00:00+00,reactive,changement_suite_panne,joint hydraulique,Intervention corrective après INC-000868,INC-000868,8.0
115,MACH-05,2024-03-11,1380,86,InduPress-X2,Ligne-C,Atelier-1,HIGH,true,2026-05-30 22:00:00+00,reactive,changement_suite_panne,joint hydraulique,Intervention corrective après INC-000875,INC-000875,2.12
